X1	X2	X3
59.31	7.44	1.472
57.63	5.21	2.027
60.25	5.59	10.879
61.69	5.98	9.562
63.19	7.86	15.802
62	7.82	11.415
61.75	7.75	1.788
60.31	7.72	10.618
60.31	8.13	5.654
48.44	8.43	1.428
52.69	23.28	0.18
52.38	27	0.175
50.5	32.97	0.112
50.81	37.63	0.232
54.38	32.22	0.084
57.38	22.83	1.843
58.25	21.77	0.566
57.5	23.34	4.14
58.38	23.23	0.15
53.63	38.59	0.039
52.88	34.91	0.175
51.88	35.78	2.807
51.94	28.25	0.488
54.81	25.61	0.543
51.63	24.98	0.115
51.63	28.77	0.095
51.31	27.09	0.212
51	30.45	0.073
55.56	26.94	0.035
